window_start,reconstruction_mse,is_reconstruction_anomaly,split,return_temp_c_reconstruction_mse,is_return_temp_c_channel_anomaly,dominant_anomalous_feature
2024-07-09 18:45:00,0.010619733,False,train,0.010619733,False,return_temp_c
2024-07-10 06:45:00,0.009387734,False,train,0.009387734,False,return_temp_c
2024-07-10 18:45:00,0.0074251895,False,train,0.0074251895,False,return_temp_c
2024-07-11 06:45:00,0.0099770175,False,train,0.0099770175,False,return_temp_c
2024-07-11 18:45:00,0.008223322,False,train,0.008223322,False,return_temp_c
2024-07-12 06:45:00,0.010980758,False,train,0.010980758,False,return_temp_c
2024-07-12 18:45:00,0.009352827,False,train,0.009352827,False,return_temp_c
2024-07-13 06:45:00,0.008674574,False,train,0.008674574,False,return_temp_c
2024-07-13 18:45:00,0.007018367,False,train,0.007018367,False,return_temp_c
2024-07-14 06:45:00,0.006147266,False,train,0.006147266,False,return_temp_c
2024-07-14 18:45:00,0.006764036,False,train,0.006764036,False,return_temp_c
2024-07-15 06:45:00,0.0063751396,False,train,0.0063751396,False,return_temp_c
2024-07-15 18:45:00,0.0085609695,False,train,0.0085609695,False,return_temp_c
2024-07-16 06:45:00,0.0071730665,False,train,0.0071730665,False,return_temp_c
2024-07-16 18:45:00,0.008103278,False,train,0.008103278,False,return_temp_c
2024-07-17 06:45:00,0.006697921,False,train,0.006697921,False,return_temp_c
2024-07-17 18:45:00,0.016060714,False,train,0.016060714,False,return_temp_c
2024-07-18 06:45:00,0.007814009,False,train,0.007814009,False,return_temp_c
2024-07-18 18:45:00,0.0057479683,False,train,0.0057479683,False,return_temp_c
2024-07-19 06:45:00,0.008167916,False,train,0.008167916,False,return_temp_c
2024-07-19 18:45:00,0.0065823193,False,train,0.0065823193,False,return_temp_c
2024-07-20 06:45:00,0.009208507,False,train,0.009208507,False,return_temp_c
2024-07-20 18:45:00,0.008809625,False,train,0.008809625,False,return_temp_c
2024-07-21 06:45:00,0.011596412,False,train,0.011596412,False,return_temp_c
2024-07-21 18:45:00,0.0066726035,False,train,0.0066726035,False,return_temp_c
2024-07-22 06:45:00,0.009425785,False,train,0.009425785,False,return_temp_c
2024-07-22 18:45:00,0.015256856,False,train,0.015256856,False,return_temp_c
2024-07-23 06:45:00,0.011957903,False,train,0.011957903,False,return_temp_c
2024-07-23 18:45:00,0.008500465,False,train,0.008500465,False,return_temp_c
2024-07-24 06:45:00,0.016821114,False,train,0.016821114,False,return_temp_c
2024-07-24 18:45:00,0.015472083,False,train,0.015472083,False,return_temp_c
2024-07-25 06:45:00,0.017046953,False,train,0.017046953,False,return_temp_c
2024-07-25 18:45:00,0.029802024,False,train,0.029802024,False,return_temp_c
2024-07-26 06:45:00,0.01999565,False,train,0.01999565,False,return_temp_c
2024-07-26 18:45:00,0.021858184,False,train,0.021858184,False,return_temp_c
2024-07-27 06:45:00,0.017493682,False,train,0.017493682,False,return_temp_c
2024-07-27 18:45:00,0.0123241665,False,train,0.0123241665,False,return_temp_c
2024-07-28 06:45:00,0.0144034885,False,train,0.0144034885,False,return_temp_c
2024-07-28 18:45:00,0.01809389,False,train,0.01809389,False,return_temp_c
2024-07-29 06:45:00,0.019343952,False,train,0.019343952,False,return_temp_c
2024-07-29 18:45:00,0.011602108,False,train,0.011602108,False,return_temp_c
2024-07-30 06:45:00,0.018891372,False,train,0.018891372,False,return_temp_c
2024-07-30 18:45:00,0.01875395,False,train,0.01875395,False,return_temp_c
2024-07-31 06:45:00,0.01595618,False,train,0.01595618,False,return_temp_c
2024-07-31 18:45:00,0.024870435,False,train,0.024870435,False,return_temp_c
2024-08-01 06:45:00,0.023473943,False,train,0.023473943,False,return_temp_c
2024-08-01 18:45:00,0.021668194,False,train,0.021668194,False,return_temp_c
2024-08-02 06:45:00,0.010296199,False,train,0.010296199,False,return_temp_c
2024-08-02 18:45:00,0.012463783,False,train,0.012463783,False,return_temp_c
2024-08-03 06:45:00,0.013868275,False,train,0.013868275,False,return_temp_c
